Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,,best value,,model1 rmse,,difference,,,,,,,,,, ,
0,0,107.067955,115.6315352,145.8560872,117.8349928,135.7639482,127.3253478,17.38673993,36.96856913,2.636228618,5.161642722,7.197875698,3.900693639,45.88160999,27.76421014,7.599070902,44.9782727,13.89335095,4.191784198,9.104028143,2.190910543,19.99524001,31.17945337,14.90844499,14.06280671,,2.190910543,,7.761709641,,-5.570799098,,,,,,,,,,,
0,1,106.5392142,113.0210243,137.1722699,111.3628448,140.725677,118.7542687,18.00365104,17.17335725,2.573984601,7.290858271,8.489454076,8.24702818,30.59897073,15.93099767,8.968534636,15.93216626,11.38947723,6.376512262,9.655637718,3.997353687,24.44119963,21.87863065,9.533536483,12.18435896, ,2.573984601,,9.782255543,,-7.208270941,,,,,,,,,,,
0,2,107.3327672,114.9866264,125.1638031,96.9074527,117.6941126,115.2001655,15.75584699,12.63310506,3.149069461,6.420897073,5.902337882,4.0067095,17.88183463,13.70644653,6.461776295,12.88651696,10.25201747,5.42352734,5.676247952,2.008993712,18.55420117,18.1147591,5.29059345,10.7263844, ,2.008993712,,9.520992175,,-7.511998462,,,,,,,,,,,
0,3,96.64858439,95.38577896,114.251833,105.9935638,111.7502714,101.9644407,8.774357676,10.31014697,1.860649121,2.833230052,7.379974513,2.323325636,11.87229169,12.6483911,3.926451039,14.2860189,5.106205645,3.158020506,12.99241136,1.338598583,11.88307272,11.54301333,6.09075749,7.492179997, ,1.338598583,,5.891963887,,-4.553365304,,,,,,,,,,,
0,4,94.359007,94.9078697,107.3068712,96.59154451,116.9728324,94.64716175,4.403112592,11.83306118,1.352645075,3.105152265,6.038901036,1.657472442,5.605383483,10.86176985,2.723712262,17.81356543,3.023539467,3.618896176,5.843115485,1.332453352,6.445966823,7.315020416,5.435018741,6.317078861, ,1.332453352,,4.573645286,,-3.241191934,,avg_less_rmse=,,494.8720962,-,446.0004087,=,48.87168756,,9.87561997,%
0,5,90.98870172,96.72895101,118.1934687,86.57907444,103.2511546,101.1663507,2.365535377,8.857264062,1.410450943,4.847011698,6.118481916,1.911139549,4.87180059,17.14739462,2.295133575,7.449037318,3.994459925,2.76024539,3.869108367,1.198696571,7.180781686,7.328973913,5.227687105,5.768213285, ,1.198696571,,3.826298592,,-2.62760202,,,,,,,,,,,
0,6,111.7373671,114.8267599,146.6599261,119.8044149,126.1921844,125.3292548,3.165419207,8.072522128,2.421337854,6.130094873,9.334178204,4.194891217,15.40345647,20.62413049,2.254576178,6.270327774,3.48472737,4.942489042,6.706590051,2.13193899,15.94886208,8.108500073,7.225086164,5.850151315, ,2.13193899,,5.484024334,,-3.352085343,,,,,,,,,,,
0,7,122.2078842,133.4882314,132.4165505,122.8205282,141.7843307,124.3430796,4.026537828,9.081064194,5.766185348,7.843367392,11.53483253,6.055954242,7.561309329,12.83705859,4.500331838,5.692005255,4.91392635,5.048525446,7.00521235,3.293696145,7.891130169,4.951789132,7.744514417,5.519363476, ,3.293696145,,7.333276829,,-4.039580685,,,,,,,,,,,
0,8,84.46227761,84.36519194,100.1407982,83.3825441,103.9127553,86.11614574,10.3369224,21.21477025,9.156547384,15.50014401,54.27911805,3.216717086,21.94717605,38.41159255,4.677695755,10.06856135,9.167822473,6.557383947,14.23349167,9.368752364,6.725714305,10.38950823,14.2442054,4.072029899, ,3.216717086,,4.258022978,,-1.041305893,,,,,,,,,,,
0,9,72.60779013,64.66183635,88.24893767,67.7391095,89.00182175,66.65197302,1.603456961,17.79862929,4.399227724,9.977321568,18.49486799,2.0331318,10.17639982,23.41026084,5.267981285,3.826622855,1.879530601,1.706957295,3.300726484,2.512085251,1.374278288,3.209637746,3.642517442,1.489330749, ,1.374278288,,3.042731592,,-1.668453304,,,,,,,,,,,
0,10,69.87569838,58.32139226,80.89216632,63.44760212,78.64214491,64.794514,0.54564978,2.697656274,1.09724708,0.853501337,2.882408801,0.804885309,1.333725108,2.605122104,10.06783402,1.64031315,0.70314162,0.732336217,1.65024353,0.554800703,0.161021395,1.293770562,0.551081934,1.185480346, ,0.161021395,,5.950884203,,-5.789862808,,,,,,,,,,,
0,11,69.81607819,59.88775308,83.52428678,65.31327893,76.36028197,60.90023027,0.301713855,4.886013252,0.995846159,0.882499729,4.690402997,0.642488185,4.182702027,1.793880487,3.67473923,1.40652059,0.444297508,0.557512566,1.251938313,0.263548606,0.200476646,1.01025898,0.334915025,0.358877908, ,0.200476646,,20.80441592,,-20.60393927,,,,,,,,,,,
0,12,67.9676919,60.02628114,78.89090077,63.01674777,73.74879778,60.96250352,1.443388673,4.854260899,8.983828471,19.51942906,6.747812644,3.491331635,15.09734406,13.82646697,1.485123839,1.022026058,5.984488063,6.926694744,0.875104804,1.321312664,3.136229518,3.303764385,1.604648938,1.03354445, ,0.875104804,,22.84688624,,-21.97178143,,,,,,,,,,,
0,13,59.19576108,57.39798262,71.83661665,57.5015259,71.00811328,57.75564971,5.344442044,12.3391339,20.85973119,49.9560555,13.40062038,14.78931384,14.00264438,27.34446768,6.079654809,1.510881707,14.11215449,13.02174511,1.844890535,4.037361443,9.925950748,2.456838923,4.566386058,4.882068083, ,1.510881707,,5.289017585,,-3.778135878,,,,,,,,,,,
0,14,41.4450396,40.68296061,52.26615984,41.85687355,53.31274722,41.06637158,0.449384462,3.865011927,0.943316465,7.772521244,3.915971568,1.133939347,2.29550573,2.12904876,1.658503673,0.19109899,1.822888798,4.551469402,0.263771919,0.184078087,0.400555558,1.011115878,0.212239921,1.323872259, ,0.184078087,,2.242917566,,-2.058839479,,,,,,,,,,,
0,15,24.83951158,23.28388889,31.81749793,32.99067593,39.12226054,20.71060381,0.5883433,3.717777566,0.572753074,2.923856921,2.178061123,0.943859465,2.536589295,5.948811829,0.353637479,0.445214512,1.200127902,1.011612114,0.892114231,1.124895771,0.262357987,1.02263523,2.225151005,0.138387248, ,0.138387248,,1.042216023,,-0.903828775,,,,,,,,,,,
0,16,37.21028714,31.51573524,32.04594582,35.58805212,33.18375293,29.10708672,0.70387705,7.190850025,3.47104515,1.641928086,7.306356594,0.82182043,2.560117341,3.170076852,3.339855988,0.653057168,1.598173157,1.113228814,0.8456104,0.476072661,0.585059672,1.501855508,0.799260274,1.214877044, ,0.476072661,,1.221462041,,-0.74538938,,,,,,,,,,,
